user_id,zip_code,movie_id,timestamp,group
196,55105,242,881250949,0
22,40206,377,878887116,0
244,80525,51,880606923,0
166,55113,346,886397596,0
298,01581,474,884182806,2
115,17110,265,881171488,2
253,22903,465,891628467,2
305,94086,451,886324817,1
6,98101,86,883603013,1
62,97214,257,879372434,1
286,15217,1014,879781125,2
200,93402,222,876042340,1
210,03060,40,891035994,2
224,43512,29,888104457,2
122,22206,387,879270459,2
291,44106,1042,874834944,2
234,94702,1184,892079237,1
119,67401,392,886176814,0
299,63108,144,877881320,0
291,44106,118,874833878,2
308,95076,1,887736532,1
95,10707,546,879196566,2
38,54467,95,892430094,0
102,30220,768,883748450,2
63,75240,277,875747401,0
160,66215,234,876861185,0
50,52245,246,877052329,0
301,55439,98,882075827,0
225,58202,193,879539727,0
290,93550,88,880731963,1
97,98006,194,884238860,1
157,70808,274,886890835,0
181,21218,1081,878962623,2
278,30033,603,891295330,2
276,95064,796,874791932,1
7,91344,32,891350932,1
10,90703,16,877888877,1
284,92629,304,885329322,1
276,95064,564,874791805,1
287,31211,327,875333916,2
246,28734,201,884921594,2
242,31404,1137,879741196,2
249,84103,241,879641194,1
99,63129,4,886519097,0
178,49512,332,882823437,0
251,85032,100,886271884,1
81,21218,432,876535131,2
260,89801,322,890618898,1
25,55107,181,885853415,0
59,08403,196,888205088,2
72,73034,679,880037164,0
87,89503,384,879877127,1
290,93550,143,880474293,1
42,17870,423,881107687,2
292,94703,515,881103977,1
115,17110,20,881171009,2
20,95660,288,879667584,1
13,29206,526,882141053,2
246,28734,919,884920949,2
138,53211,26,879024232,0
60,06472,427,883326620,2
57,84010,304,883698581,1
223,47906,274,891550094,0
189,95014,512,893277702,1
243,60201,15,879987440,0
92,80525,1049,890251826,0
246,28734,416,884923047,2
241,20001,690,887249482,2
178,49512,248,882823954,0
254,42647,1444,886475558,2
293,60804,5,888906576,0
127,73439,229,884364867,0
225,58202,237,879539643,0
299,63108,229,878192429,0
225,58202,480,879540748,0
276,95064,54,874791025,1
291,44106,144,874835091,2
222,27502,366,878183381,2
267,83716,518,878971773,1
42,17870,403,881108684,2
11,30329,111,891903862,2
95,10707,625,888954412,2
8,05201,338,879361873,2
162,15610,25,877635573,2
87,89503,1016,879876194,1
279,85251,154,875296291,1
119,67401,1153,874781198,0
62,97214,498,879373848,1
62,97214,382,879375537,1
28,55369,209,881961214,0
135,38401,23,879857765,0
32,78741,294,883709863,0
90,78155,382,891383835,0
286,15217,208,877531942,2
293,60804,685,888905170,0
216,02215,144,880234639,2
166,55113,328,886397722,0
250,95110,496,878090499,1
271,22932,132,885848672,2
160,66215,174,876860807,0
265,84601,118,875320714,1
198,55414,498,884207492,0
